alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied,eval_time_sec
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,538.0,wrought,GPT4.1_ft,SUCCESS,860.0,1065,1185.0,1280,22.0,19,184.0,171,,,,,,
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,649.0,wrought,GPT4.1_ft,SUCCESS,860.0,1020,1185.0,1160,22.0,19,176.0,163,,,,,,
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,704.0,wrought,GPT4.1_ft,EMPTY,,945,,1005,,20,,,,,,,,
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,-196.0,wrought,GPT4.1_ft,EMPTY,,,,1035.0,,46.0,,,,,,,,
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,-78.0,wrought,GPT4.1_ft,EMPTY,,,,819.0,,51.0,,,,,,,,
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,20.0,wrought,GPT4.1_ft,EMPTY,,324.0,,720.0,,,,196.0,,,,,,
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,204.0,wrought,GPT4.1_ft,EMPTY,,336.0,,713.0,,41.0,199.0,,,,,,,
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,427.0,wrought,GPT4.1_ft,EMPTY,,301.0,,687.0,,44.0,184.0,,,,,,,
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,649.0,wrought,GPT4.1_ft,SUCCESS,725.0,272.0,1105.0,472.0,27.0,37.0,168.0,,,,,,,
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,871.0,wrought,GPT4.1_ft,SUCCESS,400.0,177.0,510.0,252.0,30.0,51.0,148.0,,,,,,,
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,1093.0,wrought,GPT4.1_ft,EMPTY,,55.0,,90.0,,40.0,,,,,,,,
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,1204.0,wrought,GPT4.1_ft,EMPTY,,26.0,,37.0,,31.0,,,,,,,,
Haynes 625 alloy,20.0,wrought,GPT4.1_ft,EMPTY,,490.0,,905.0,,48.5,,208.0,,,,,,
Haynes 625 alloy,540.0,wrought,GPT4.1_ft,EMPTY,,370.0,,770.0,,54.0,,,,,,,,
Haynes 625 alloy,650.0,wrought,GPT4.1_ft,EMPTY,,370.0,,760.0,,55.6,,,,,,,,
Haynes 625 alloy,760.0,wrought,GPT4.1_ft,SUCCESS,275.0,345.0,495.0,600.0,36.0,53.1,160.0,,,,,,,
Haynes 625 alloy,870.0,wrought,GPT4.1_ft,EMPTY,,205.0,,345.0,,45.9,,,,,,,,
Haynes 625 alloy,980.0,wrought,GPT4.1_ft,EMPTY,,83.0,,165.0,,43.8,,,,,,,,
Haynes 625 alloy,1095.0,wrought,GPT4.1_ft,EMPTY,,39.0,,95.0,,44.7,,,,,,,,
Haynes 718 alloy,20.0,wrought,GPT4.1_ft,EMPTY,,1175.0,,1395.0,,22.3,,200.0,,,,,,
Haynes 718 alloy,540.0,wrought,GPT4.1_ft,EMPTY,,995.0,,1130.0,,24.4,,,,,,,,
Haynes 718 alloy,650.0,wrought,GPT4.1_ft,EMPTY,,1000.0,,1155.0,,19.9,,,,,,,,
Haynes 718 alloy,760.0,wrought,GPT4.1_ft,SUCCESS,860.0,750.0,965.0,855.0,18.0,10.2,159.0,,,,,,,
Haynes 718 alloy,870.0,wrought,GPT4.1_ft,EMPTY,,305.0,,420.0,,27.7,,,,,,,,
Haynes 718 alloy,980.0,wrought,GPT4.1_ft,EMPTY,,90.0,,145.0,,37.0,,,,,,,,
Haynes 718 alloy,1095.0,wrought,GPT4.1_ft,EMPTY,,40.0,,77.0,,38.5,,,,,,,,
Haynes Hastelloy® B-2 alloy,20.0,wrought,GPT4.1_ft,EMPTY,,396.0,,914.0,,55.0,,217.0,,,,,,
Haynes Hastelloy® B-3® alloy,20.0,wrought,GPT4.1_ft,EMPTY,,421.0,,862.0,,53.0,,216.0,,,,,,
Haynes Hastelloy® B-3® alloy,93.0,wrought,GPT4.1_ft,EMPTY,,379.0,,834.0,,57.0,202.0,,,,,,,
Haynes Hastelloy® B-3® alloy,204.0,wrought,GPT4.1_ft,EMPTY,,324.0,,758.0,,60.0,196.0,,,,,,,
Haynes Hastelloy® B-3® alloy,316.0,wrought,GPT4.1_ft,EMPTY,,303.0,,717.0,,63.0,190.0,,,,,,,
Haynes Hastelloy® B-3® alloy,427.0,wrought,GPT4.1_ft,EMPTY,,290.0,,703.0,,62.0,184.0,,,,,,,
Haynes Hastelloy® B-3® alloy,538.0,wrought,GPT4.1_ft,SUCCESS,275.0,269.0,795.0,676.0,30.0,59.0,176.0,,,,,,,
Haynes Hastelloy® B-3® alloy,649.0,wrought,GPT4.1_ft,SUCCESS,275.0,317.0,725.0,717.0,30.0,56.0,168.0,,,,,,,
Haynes Hastelloy® C-2000® alloy,20.0,wrought,GPT4.1_ft,EMPTY,,393.0,,779.0,,68.0,,,,,,,,
Haynes Hastelloy® C-22® alloy,21.0,wrought,GPT4.1_ft,SUCCESS,505.0,407.0,930.0,800.0,30.0,57.0,210.0,206.0,,,,,,
Haynes Hastelloy® C-22® alloy,93.0,wrought,GPT4.1_ft,EMPTY,,372.0,,758.0,,58.0,206.0,,,,,,,
Haynes Hastelloy® C-22® alloy,204.0,wrought,GPT4.1_ft,EMPTY,,303.0,,703.0,,57.0,199.0,,,,,,,
Haynes Hastelloy® C-22® alloy,316.0,wrought,GPT4.1_ft,EMPTY,,286.0,,676.0,,62.0,191.0,,,,,,,
Haynes Hastelloy® C-22® alloy,427.0,wrought,GPT4.1_ft,EMPTY,,283.0,,655.0,,67.0,184.0,,,,,,,
Haynes Hastelloy® C-22® alloy,538.0,wrought,GPT4.1_ft,SUCCESS,310.0,276.0,730.0,627.0,40.0,61.0,176.0,,,,,,,
Haynes Hastelloy® C-22® alloy,649.0,wrought,GPT4.1_ft,SUCCESS,275.0,248.0,640.0,586.0,40.0,65.0,168.0,,,,,,,
Haynes Hastelloy® C-22® alloy,760.0,wrought,GPT4.1_ft,SUCCESS,210.0,241.0,430.0,524.0,50.0,63.0,159.0,,,,,,,
Haynes Hastelloy® C-276 alloy,20.0,wrought,GPT4.1_ft,EMPTY,,364.7,,826.7,,61.0,,205.0,,,,,,
Haynes Hastelloy® C-276 alloy,204.0,wrought,GPT4.1_ft,EMPTY,,,,696.4,,,196.0,195.0,,,,,,
Haynes Hastelloy® C-276 alloy,316.0,wrought,GPT4.1_ft,EMPTY,,,,681.2,,68.0,190.0,188.0,,,,,,
Haynes Hastelloy® C-276 alloy,427.0,wrought,GPT4.1_ft,EMPTY,,,,,,67.0,184.0,182.0,,,,,,
Haynes Hastelloy® C-4 alloy,20.0,wrought,GPT4.1_ft,EMPTY,,421.0,,801.0,,55.0,,211.0,,,,,,
Haynes Hastelloy® C-4 alloy,204.0,wrought,GPT4.1_ft,EMPTY,,403.0,,706.0,,55.0,199.0,201.0,,,,,,
Haynes Hastelloy® C-4 alloy,316.0,wrought,GPT4.1_ft,EMPTY,,371.0,,675.0,,61.0,191.0,194.0,,,,,,
Haynes Hastelloy® C-4 alloy,427.0,wrought,GPT4.1_ft,EMPTY,,320.0,,656.0,,68.0,184.0,187.0,,,,,,
Haynes Hastelloy® C-4 alloy,538.0,wrought,GPT4.1_ft,SUCCESS,275.0,299.0,675.0,645.0,50.0,55.0,176.0,179.0,,,,,,
Haynes Hastelloy® C-4 alloy,649.0,wrought,GPT4.1_ft,SUCCESS,275.0,291.0,640.0,571.0,50.0,50.0,168.0,171.0,,,,,,
Haynes Hastelloy® C-4 alloy,760.0,wrought,GPT4.1_ft,SUCCESS,275.0,260.0,550.0,476.0,50.0,44.0,159.0,162.0,,,,,,
Haynes Hastelloy® G-30® alloy,20.0,wrought,GPT4.1_ft,EMPTY,,338.0,,689.0,,56.0,,202,,,,,,
Haynes Hastelloy® G-30® alloy,93.0,wrought,GPT4.1_ft,EMPTY,,290.0,,655.0,,54.0,202.0,,,,,,,
Haynes Hastelloy® G-30® alloy,204.0,wrought,GPT4.1_ft,EMPTY,,248.0,,607.0,,59.0,196.0,,,,,,,
Haynes Hastelloy® G-30® alloy,316.0,wrought,GPT4.1_ft,EMPTY,,228.0,,572.0,,59.0,190.0,,,,,,,
Haynes Hastelloy® G-30® alloy,427.0,wrought,GPT4.1_ft,EMPTY,,214.0,,552.0,,60.0,184.0,,,,,,,
Haynes Hastelloy® G-30® alloy,538.0,wrought,GPT4.1_ft,SUCCESS,275.0,200.0,675.0,524.0,30.0,62.0,176.0,,,,,,,
Haynes Hastelloy® N,20.0,wrought,GPT4.1_ft,EMPTY,,314.0,,794.0,,50.7,,,,,,,,
Haynes Hastelloy® N,593.0,wrought,GPT4.1_ft,EMPTY,,227.0,,599.0,,45.3,,,,,,,,
Haynes Hastelloy® N,704.0,wrought,GPT4.1_ft,EMPTY,,218.0,,480.0,,30.0,,,,,,,,
Haynes Hastelloy® N,815.0,wrought,GPT4.1_ft,EMPTY,,203.0,,385.0,,24.3,,,,,,,,
Haynes Hastelloy® N,927.0,wrought,GPT4.1_ft,EMPTY,,179.0,,234.0,,30.0,,,,,,,,
Nickel Alloy 59,20.0,wrought,GPT4.1_ft,EMPTY,,320.0,,690.0,,40.0,,210.0,,,,,,
Special Metals INCOLOY® alloy 890 Ni-Cr-Fe Superalloy,22.0,wrought,GPT4.1_ft,EMPTY,,272.0,,652.0,,46.6,,195.1,,,,,,
Special Metals INCOLOY® alloy 890 Ni-Cr-Fe Superalloy,870.0,wrought,GPT4.1_ft,EMPTY,,110.0,,132.0,,84.8,,,,,,,,
Special Metals INCOLOY® alloy 890 Ni-Cr-Fe Superalloy,980.0,wrought,GPT4.1_ft,EMPTY,,66.0,,92.0,,98.0,,,,,,,,
Special Metals INCOLOY® alloy 890 Ni-Cr-Fe Superalloy,1100.0,wrought,GPT4.1_ft,EMPTY,,44.0,,62.0,,83.6,,,,,,,,
Special Metals INCONEL® 622 Nickel Superalloy (UNS N06022) Plate 0.250 in (6.4 mm),20.0,wrought,GPT4.1_ft,EMPTY,,311.0,,699.8,,69.0,,209.0,,,,,,
Special Metals INCONEL® 725 Nickel Superalloy (UNS N07725),20.0,wrought,GPT4.1_ft,EMPTY,,427.0,,855.0,,57.0,,204.0,,,,,,
Special Metals INCONEL® Alloy 686 Nickel Superalloy Sheet (UNS N06686),20.0,wrought,GPT4.1_ft,EMPTY,,421.0,,848.0,,59.0,,207,,,,,,
Special Metals INCONEL® Alloy N06230 Ni-Cr-W-Mo Alloy,21.0,wrought,GPT4.1_ft,SUCCESS,520.0,403.0,860.0,824.0,30.0,46.0,210.0,,,,,,,
Special Metals INCONEL® Alloy N06230 Ni-Cr-W-Mo Alloy,204.0,wrought,GPT4.1_ft,EMPTY,,386.0,,772.0,,45.0,202.0,,,,,,,
Special Metals INCONEL® Alloy N06230 Ni-Cr-W-Mo Alloy,316.0,wrought,GPT4.1_ft,EMPTY,,372.0,,758.0,,46.0,196.0,,,,,,,
Special Metals INCONEL® Alloy N06230 Ni-Cr-W-Mo Alloy,427.0,wrought,GPT4.1_ft,EMPTY,,359.0,,745.0,,48.0,190.0,,,,,,,
Special Metals INCONEL® Alloy N06230 Ni-Cr-W-Mo Alloy,538.0,wrought,GPT4.1_ft,SUCCESS,485.0,310.0,800.0,724.0,30.0,40.0,183.0,,,,,,,
Special Metals INCONEL® Alloy N06230 Ni-Cr-W-Mo Alloy,649.0,wrought,GPT4.1_ft,SUCCESS,485.0,290.0,725.0,724.0,30.0,50.0,176.0,,,,,,,
Special Metals INCONEL® Alloy N06230 Ni-Cr-W-Mo Alloy,760.0,wrought,GPT4.1_ft,SUCCESS,400.0,290.0,550.0,517.0,30.0,70.0,168.0,,,,,,,
Special Metals INCONEL® Alloy N06230 Ni-Cr-W-Mo Alloy,871.0,wrought,GPT4.1_ft,SUCCESS,180.0,193.0,275.0,234.0,30.0,90.0,158.0,,,,,,,
Special Metals INCONEL® Alloy N06230 Ni-Cr-W-Mo Alloy,1090.0,wrought,GPT4.1_ft,EMPTY,,55.2,,82.7,,70.0,,,,,,,,
Special Metals INCONEL® C276 Nickel Superalloy Sheet,20.0,wrought,GPT4.1_ft,EMPTY,,376.0,,796.3,,60.0,,205.0,,,,,,
Special Metals INCONEL® G-3 Nickel Superalloy (UNS N06985),20.0,wrought,GPT4.1_ft,EMPTY,,320.0,,690.0,,60.0,,199.0,,,,,,
Special Metals INCONEL® G-3 Nickel Superalloy (UNS N06985),550.0,wrought,GPT4.1_ft,EMPTY,,190.0,,500.0,,65.0,,,,,,,,
Special Metals NIMONIC® Alloy 86,20.0,wrought,GPT4.1_ft,EMPTY,,410.0,,,,42.0,,210.0,,,,,,
Special Metals NIMONIC® Alloy 86,23.0,wrought,GPT4.1_ft,EMPTY,,,,825.0,,,,,,,,,,
Special Metals NIMONIC® Alloy 86,650.0,wrought,GPT4.1_ft,EMPTY,,240.0,,620.0,,50.0,,,,,,,,
