alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied,eval_time_sec
INCONEL* 600,21.0,wrought,LLM_ONLY,SUCCESS,550,285.0,1050,660.0,25,45.0,214000,214.0,,,LOW,N/A,0,1.7
INCONEL* 600,93.0,wrought,LLM_ONLY,SUCCESS,310,,760,,30,,207,210.0,,,LOW,N/A,0,1.1
INCONEL* 600,204.0,wrought,LLM_ONLY,SUCCESS,410,,920,,35,,207,205.0,,,LOW,N/A,0,0.9
INCONEL* 600,316.0,wrought,LLM_ONLY,SUCCESS,550,,900,,25,,190000,199.0,,,LOW,N/A,0,0.8
INCONEL* 600,427.0,wrought,LLM_ONLY,SUCCESS,450,,900,,25,,190000,192.0,,,LOW,N/A,0,1.1
INCONEL* 600,538.0,wrought,LLM_ONLY,SUCCESS,420,220.0,920,560.0,25,41.0,190000,184.0,,,LOW,N/A,0,1.0
INCONEL* 600,649.0,wrought,LLM_ONLY,SUCCESS,240,205.0,620,450.0,35,49.0,190,176.0,,,LOW,N/A,0,1.0
INCONEL* 600,760.0,wrought,LLM_ONLY,SUCCESS,450,180.0,700,260.0,25,70.0,180,168.0,,,LOW,N/A,0,1.6
INCONEL* 600,871.0,wrought,LLM_ONLY,SUCCESS,220,75.0,520,140.0,25,80.0,170,157.0,,,LOW,N/A,0,1.2
INCONEL* 600,982.0,wrought,LLM_ONLY,SUCCESS,120,41.0,250,76.0,25,115.0,150,145.0,,,LOW,N/A,0,1.5
TD NiCr,21.0,wrought,LLM_ONLY,SUCCESS,400,615.0,900,945.0,25,20.0,217,,,,LOW,N/A,0,1.4
TD NiCr,538.0,wrought,LLM_ONLY,SUCCESS,420,450.0,620,685.0,25,14.5,170,,,,LOW,N/A,0,1.2
TD NiCr,649.0,wrought,LLM_ONLY,SUCCESS,250,365.0,550,435.0,25,11.0,180,,,,LOW,N/A,0,1.4
TD NiCr,760.0,wrought,LLM_ONLY,SUCCESS,250,260.0,550,270.0,25,5.0,180,,,,LOW,N/A,0,2.0
TD NiCr,871.0,wrought,LLM_ONLY,SUCCESS,250,180.0,550,185.0,25,3.0,180000,,,,LOW,N/A,0,2.1
TD NiCr,982.0,wrought,LLM_ONLY,SUCCESS,80,130.0,120,140.0,25,2.0,150,,,,LOW,N/A,0,2.3
TD NiCr,1093.0,wrought,LLM_ONLY,SUCCESS,50,105.0,70,110.0,25,1.5,150,,,,LOW,N/A,0,2.2
HASTELLOY* X,21.0,wrought,LLM_ONLY,SUCCESS,450,360.0,900,785.0,25,43.0,220000,197.0,,,LOW,N/A,0,1.4
HASTELLOY* X,93.0,wrought,LLM_ONLY,SUCCESS,1050,,1300,,25,,215000,194.0,,,LOW,N/A,0,1.9
HASTELLOY* X,204.0,wrought,LLM_ONLY,SUCCESS,550,,900,,25,,200000,186.0,,,LOW,N/A,0,1.1
HASTELLOY* X,316.0,wrought,LLM_ONLY,SUCCESS,550,,900,,25,,200000,178.0,,,LOW,N/A,0,1.8
HASTELLOY* X,427.0,wrought,LLM_ONLY,SUCCESS,870,,1200,,20,,205000,170.0,,,LOW,N/A,0,1.0
HASTELLOY* X,538.0,wrought,LLM_ONLY,SUCCESS,850,290.0,1100,650.0,20,45.0,190000,161.0,,,LOW,N/A,0,2.8
HASTELLOY* X,649.0,wrought,LLM_ONLY,SUCCESS,850,275.0,1050,570.0,25,37.0,210000,154.0,,,LOW,N/A,0,1.2
HASTELLOY* X,760.0,wrought,LLM_ONLY,SUCCESS,850,260.0,1050,435.0,20,37.0,190000,146.0,,,LOW,N/A,0,1.8
HASTELLOY* X,871.0,wrought,LLM_ONLY,SUCCESS,450,180.0,700,255.0,25,50.0,170,137.0,,,LOW,N/A,0,2.1
HASTELLOY* X,982.0,wrought,LLM_ONLY,SUCCESS,250,110.0,450,150.0,25,45.0,170,128.0,,,LOW,N/A,0,2.0
HASTELLOY* X,1093.0,wrought,LLM_ONLY,SUCCESS,120,55.0,250,90.0,30,40.0,180,,,,LOW,N/A,0,1.1
HAYNES* 242,21.0,wrought,LLM_ONLY,SUCCESS,450,845.0,900,1290.0,25,46.0,220000,228.0,,,LOW,N/A,0,1.1
HAYNES* 242,93.0,wrought,LLM_ONLY,SUCCESS,450,,900,,25,,220000,225.0,,,LOW,N/A,0,1.1
HAYNES* 242,204.0,wrought,LLM_ONLY,SUCCESS,850,,1200,,25,,220000,219.0,,,LOW,N/A,0,2.1
HAYNES* 242,316.0,wrought,LLM_ONLY,SUCCESS,800,,1050,,25,,220000,212.0,,,LOW,N/A,0,2.1
HAYNES* 242,427.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,20,,190000,205.0,,,LOW,N/A,0,1.6
HAYNES* 242,538.0,wrought,LLM_ONLY,SUCCESS,850,540.0,1050,1080.0,20,50.0,190000,197.0,,,LOW,N/A,0,1.6
HAYNES* 242,649.0,wrought,LLM_ONLY,SUCCESS,850,570.0,1050,1000.0,25,41.0,220000,190.0,,,LOW,N/A,0,1.3
HAYNES* 242,760.0,wrought,LLM_ONLY,SUCCESS,450,310.0,700,730.0,25,54.0,180,177.0,,,LOW,N/A,0,1.6
HAYNES* 242,871.0,wrought,LLM_ONLY,SUCCESS,420,310.0,620,500.0,25,85.0,180,166.0,,,LOW,N/A,0,1.3
HAYNES* 242,982.0,wrought,LLM_ONLY,SUCCESS,200,210.0,400,290.0,25,97.0,150,154.0,,,LOW,N/A,0,2.3
Alloy 718 (AMS 5596 sheet),20.0,wrought,LLM_ONLY,SUCCESS,1200,860.0,1400,1100.0,20,30.0,200000,,,,LOW,N/A,0,1.5
Alloy 725,20.0,wrought,LLM_ONLY,SUCCESS,1050,827.0,1400,1170.0,20,35.0,200000,,,,LOW,N/A,0,1.2
Haynes 244,20.0,wrought,LLM_ONLY,SUCCESS,1050,860.0,1250,1240.0,20,12.0,220000,,,,LOW,N/A,0,0.9
ATI Allegheny Ludlum AL 22™ Nickel-Base Alloy,20.0,wrought,LLM_ONLY,SUCCESS,900,345.0,1200,724.0,20,67.0,210,207.0,,,LOW,N/A,0,1.2
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,20.0,wrought,LLM_ONLY,SUCCESS,965,415.0,1240,790.0,35,50.0,206,205.0,,,LOW,N/A,0,1.6
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,21.0,wrought,LLM_ONLY,SUCCESS,1030,415.0,1310,790.0,30,50.0,206,205.0,,,LOW,N/A,0,1.2
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,93.0,wrought,LLM_ONLY,SUCCESS,900,380.0,1200,725.0,30,50.0,214000,,,,LOW,N/A,0,1.2
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,204.0,wrought,LLM_ONLY,SUCCESS,900,345.0,1200,710.0,25,50.0,215000,,,,LOW,N/A,0,1.2
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,316.0,wrought,LLM_ONLY,SUCCESS,900,315.0,1200,675.0,30,55.0,207000,,,,LOW,N/A,0,1.2
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,427.0,wrought,LLM_ONLY,SUCCESS,850,290.0,1200,655.0,25,60.0,190000,,,,LOW,N/A,0,1.4
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy,538.0,wrought,LLM_ONLY,SUCCESS,850,270.0,1100,640.0,25,60.0,205,,,,LOW,N/A,0,1.4
ATI Allegheny Ludlum AL 600™ Nickel-Base Alloy,20.0,wrought,LLM_ONLY,SUCCESS,310,255.0,760,640.0,30,45.0,207,207.0,,,LOW,N/A,0,1.2
ATI Allegheny Ludlum AL 601™ Nickel-Base Alloy,20.0,wrought,LLM_ONLY,SUCCESS,550,440.0,1050,790.0,30,45.0,214000,205.0,,,LOW,N/A,0,2.0
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,20.0,wrought,LLM_ONLY,SUCCESS,950,485.0,1250,940.0,25,46.0,214000,205.0,,,LOW,N/A,0,1.2
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,21.0,wrought,LLM_ONLY,SUCCESS,1050,485.0,1250,940.0,20,46.0,214000,205.0,,,LOW,N/A,0,0.9
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,93.0,wrought,LLM_ONLY,SUCCESS,1050,,1400,,20,,200000,200.0,,,LOW,N/A,0,1.4
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,204.0,wrought,LLM_ONLY,SUCCESS,850,,1200,,20,,220000,195.0,,,LOW,N/A,0,1.6
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,316.0,wrought,LLM_ONLY,SUCCESS,920,,1120,,22,,206000,190.0,,,LOW,N/A,0,1.0
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,427.0,wrought,LLM_ONLY,SUCCESS,900,,1200,,20,,190000,185.0,,,LOW,N/A,0,1.4
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,538.0,wrought,LLM_ONLY,SUCCESS,800,,1050,,20,,190000,175.0,,,LOW,N/A,0,1.3
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,649.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,20,,180,170.0,,,LOW,N/A,0,1.8
ATI Allegheny Ludlum AL 625HP™ Stainless Steel,760.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,20,,190,160.0,,,LOW,N/A,0,1.3
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,21.0,wrought,LLM_ONLY,SUCCESS,1050,1200.0,1250,1435.0,25,21.0,214000,200.0,,,LOW,N/A,0,0.9
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,93.0,wrought,LLM_ONLY,SUCCESS,850,,1200,,25,,200000,196.0,,,LOW,N/A,0,1.0
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,204.0,wrought,LLM_ONLY,SUCCESS,850,1125.0,1200,1365.0,25,20.0,220000,190.0,,,LOW,N/A,0,0.9
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,316.0,wrought,LLM_ONLY,SUCCESS,900,,1200,,25,,200000,184.0,,,LOW,N/A,0,0.9
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,427.0,wrought,LLM_ONLY,SUCCESS,850,1080.0,1050,1325.0,25,19.5,220000,178.0,,,LOW,N/A,0,1.2
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,538.0,wrought,LLM_ONLY,SUCCESS,550,1065.0,900,1280.0,25,19.0,180,171.0,,,LOW,N/A,0,1.0
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,649.0,wrought,LLM_ONLY,SUCCESS,850,1020.0,1050,1160.0,20,19.0,180,163.0,,,LOW,N/A,0,0.9
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,704.0,wrought,LLM_ONLY,SUCCESS,850,945.0,1100,1005.0,25,20.0,170,,,,LOW,N/A,0,1.7
ATI Allegheny Ludlum Altemp® 718 Nickel-Base Superalloy,760.0,wrought,LLM_ONLY,SUCCESS,900,,1200,,25,,170,154.0,,,LOW,N/A,0,1.6
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,-196.0,wrought,LLM_ONLY,SUCCESS,1200,,1400,1035.0,10,46.0,230000,,,,LOW,N/A,0,0.8
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,-78.0,wrought,LLM_ONLY,SUCCESS,1200,,1600,819.0,20,51.0,230000,,,,LOW,N/A,0,1.7
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,20.0,wrought,LLM_ONLY,SUCCESS,1050,324.0,1400,720.0,25,,215000,196.0,,,LOW,N/A,0,2.1
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,200.0,wrought,LLM_ONLY,SUCCESS,900,336.0,1200,713.0,25,41.0,205000,185.0,,,LOW,N/A,0,2.2
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,204.0,wrought,LLM_ONLY,SUCCESS,850,336.0,1200,713.0,25,41.0,190,185.0,,,LOW,N/A,0,1.0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,427.0,wrought,LLM_ONLY,SUCCESS,550,301.0,900,687.0,25,44.0,200,,,,LOW,N/A,0,1.5
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,600.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,20,,190000,158.0,,,LOW,N/A,0,1.7
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,649.0,wrought,LLM_ONLY,SUCCESS,240,272.0,520,472.0,25,37.0,190,,,,LOW,N/A,0,1.7
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,800.0,wrought,LLM_ONLY,SUCCESS,450,,700,,25,,180,143.0,,,LOW,N/A,0,1.4
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,871.0,wrought,LLM_ONLY,SUCCESS,220,177.0,520,252.0,25,51.0,180,,,,LOW,N/A,0,1.4
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,1000.0,wrought,LLM_ONLY,SUCCESS,220,,450,,25,,150,126.0,,,LOW,N/A,0,1.0
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,1093.0,wrought,LLM_ONLY,SUCCESS,120,55.0,250,90.0,25,40.0,150,,,,LOW,N/A,0,1.3
ATI Allegheny Ludlum Altemp® HX Nickel-Based superalloy,1204.0,wrought,LLM_ONLY,SUCCESS,50,26.0,100,37.0,20,31.0,150,,,,LOW,N/A,0,1.9
Haynes 625 alloy,20.0,wrought,LLM_ONLY,SUCCESS,1050,490.0,1250,905.0,25,48.5,220000,208.0,,,LOW,N/A,0,1.4
Haynes 625 alloy,100.0,wrought,LLM_ONLY,SUCCESS,900,,1200,,25,,220000,201.0,,,LOW,N/A,0,1.0
Haynes 625 alloy,200.0,wrought,LLM_ONLY,SUCCESS,850,,1200,,25,,220000,199.0,,,LOW,N/A,0,1.3
Haynes 625 alloy,300.0,wrought,LLM_ONLY,SUCCESS,900,,1200,,20,,220000,192.0,,,LOW,N/A,0,1.2
Haynes 625 alloy,400.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,20,,210000,186.0,,,LOW,N/A,0,1.4
Haynes 625 alloy,500.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,20,,180,179.0,,,LOW,N/A,0,1.9
Haynes 625 alloy,540.0,wrought,LLM_ONLY,SUCCESS,850,370.0,1050,770.0,25,54.0,190,,,,LOW,N/A,0,1.1
Haynes 625 alloy,600.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,20,,190000,171.0,,,LOW,N/A,0,1.1
Haynes 625 alloy,650.0,wrought,LLM_ONLY,SUCCESS,850,370.0,1050,760.0,25,55.6,180,,,,LOW,N/A,0,1.5
Haynes 625 alloy,700.0,wrought,LLM_ONLY,SUCCESS,800,,1050,,20,,180,163.0,,,LOW,N/A,0,1.8
Haynes 625 alloy,760.0,wrought,LLM_ONLY,SUCCESS,800,345.0,1050,600.0,20,53.1,180,,,,LOW,N/A,0,1.5
Haynes 625 alloy,800.0,wrought,LLM_ONLY,SUCCESS,900,,1100,,20,,170,153.0,,,LOW,N/A,0,1.9
Haynes 625 alloy,870.0,wrought,LLM_ONLY,SUCCESS,250,205.0,550,345.0,25,45.9,180,,,,LOW,N/A,0,1.7
Haynes 625 alloy,900.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,25,,220,142.0,,,LOW,N/A,0,1.0
Haynes 625 alloy,980.0,wrought,LLM_ONLY,SUCCESS,450,83.0,700,165.0,25,43.8,180,,,,LOW,N/A,0,1.7
Haynes 625 alloy,1000.0,wrought,LLM_ONLY,SUCCESS,450,,700,,20,,180,126.0,,,LOW,N/A,0,1.5
Haynes 625 alloy,1095.0,wrought,LLM_ONLY,SUCCESS,200,39.0,400,95.0,20,44.7,150,,,,LOW,N/A,0,1.9
Haynes 718 alloy,20.0,wrought,LLM_ONLY,SUCCESS,900,1175.0,1200,1395.0,25,22.3,210,200.0,,,LOW,N/A,0,1.0
Haynes 718 alloy,100.0,wrought,LLM_ONLY,SUCCESS,900,,1200,,25,,220000,199.0,,,LOW,N/A,0,1.1
Haynes 718 alloy,200.0,wrought,LLM_ONLY,SUCCESS,850,,1200,,25,,220000,191.0,,,LOW,N/A,0,1.5
Haynes 718 alloy,300.0,wrought,LLM_ONLY,SUCCESS,850,,1200,,25,,220000,185.0,,,LOW,N/A,0,1.1
Haynes 718 alloy,400.0,wrought,LLM_ONLY,SUCCESS,850,,1200,,25,,220000,179.0,,,LOW,N/A,0,1.0
Haynes 718 alloy,500.0,wrought,LLM_ONLY,SUCCESS,850,,1200,,25,,210000,173.0,,,LOW,N/A,0,1.7
Haynes 718 alloy,540.0,wrought,LLM_ONLY,SUCCESS,850,995.0,1050,1130.0,25,24.4,210000,,,,LOW,N/A,0,1.9
Haynes 718 alloy,600.0,wrought,LLM_ONLY,SUCCESS,900,,1200,,25,,190,167.0,,,LOW,N/A,0,1.1
Haynes 718 alloy,650.0,wrought,LLM_ONLY,SUCCESS,850,1000.0,1050,1155.0,20,19.9,190,,,,LOW,N/A,0,1.5
Haynes 718 alloy,700.0,wrought,LLM_ONLY,SUCCESS,450,,900,,25,,180,159.0,,,LOW,N/A,0,1.3
Haynes 718 alloy,760.0,wrought,LLM_ONLY,SUCCESS,450,750.0,700,855.0,25,10.2,180,,,,LOW,N/A,0,1.6
Haynes 718 alloy,800.0,wrought,LLM_ONLY,SUCCESS,850,,1100,,20,,190,149.0,,,LOW,N/A,0,1.6
Haynes 718 alloy,870.0,wrought,LLM_ONLY,SUCCESS,250,305.0,550,420.0,25,27.7,180,,,,LOW,N/A,0,1.2
Haynes 718 alloy,900.0,wrought,LLM_ONLY,SUCCESS,250,,550,,25,,180,134.0,,,LOW,N/A,0,1.9
Haynes 718 alloy,980.0,wrought,LLM_ONLY,SUCCESS,150,90.0,350,145.0,20,37.0,170,,,,LOW,N/A,0,1.4
Haynes 718 alloy,1000.0,wrought,LLM_ONLY,SUCCESS,250,,550,,20,,150,117.0,,,LOW,N/A,0,1.5
Haynes 718 alloy,1095.0,wrought,LLM_ONLY,SUCCESS,120,40.0,250,77.0,20,38.5,150,,,,LOW,N/A,0,1.3
Haynes CABVAL Hastelloy® G-50™ Grade 100 Ni-Cr-Fe-Mo Alloy,23.0,wrought,LLM_ONLY,SUCCESS,450,,950,,25,,214000,192.0,,,LOW,N/A,0,1.6
Haynes Hastelloy® B-2 alloy,20.0,wrought,LLM_ONLY,SUCCESS,1050,396.0,1400,914.0,20,55.0,220000,217.0,,,LOW,N/A,0,1.5
Haynes Hastelloy® B-2 alloy,316.0,wrought,LLM_ONLY,SUCCESS,550,,750,,20,,190,202.0,,,LOW,N/A,0,1.0
Haynes Hastelloy® B-2 alloy,427.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,25,,190000,196.0,,,LOW,N/A,0,1.5
Haynes Hastelloy® B-2 alloy,538.0,wrought,LLM_ONLY,SUCCESS,550,,750,,20,,180,189.0,,,LOW,N/A,0,1.2
Haynes Hastelloy® B-3® alloy,20.0,wrought,LLM_ONLY,SUCCESS,1050,421.0,1250,862.0,20,53.0,220000,216.0,,,LOW,N/A,0,0.9
Haynes Hastelloy® B-3® alloy,93.0,wrought,LLM_ONLY,SUCCESS,900,379.0,1200,834.0,25,57.0,220000,,,,LOW,N/A,0,1.2
Haynes Hastelloy® B-3® alloy,100.0,wrought,LLM_ONLY,SUCCESS,1050,,1250,,20,,214,213.0,,,LOW,N/A,0,1.4
Haynes Hastelloy® B-3® alloy,200.0,wrought,LLM_ONLY,SUCCESS,900,324.0,1200,758.0,25,60.0,220000,208.0,,,LOW,N/A,0,2.1
Haynes Hastelloy® B-3® alloy,204.0,wrought,LLM_ONLY,SUCCESS,920,324.0,1050,758.0,18,60.0,220000,208.0,,,LOW,N/A,0,1.4
Haynes Hastelloy® B-3® alloy,300.0,wrought,LLM_ONLY,SUCCESS,900,,1200,,20,,220000,202.0,,,LOW,N/A,0,2.1
Haynes Hastelloy® B-3® alloy,316.0,wrought,LLM_ONLY,SUCCESS,900,303.0,1200,717.0,20,63.0,195,,,,LOW,N/A,0,2.4
Haynes Hastelloy® B-3® alloy,400.0,wrought,LLM_ONLY,SUCCESS,900,,1200,,25,,220000,197.0,,,LOW,N/A,0,1.5
Haynes Hastelloy® B-3® alloy,427.0,wrought,LLM_ONLY,SUCCESS,850,290.0,1050,703.0,25,62.0,190000,,,,LOW,N/A,0,1.1
Haynes Hastelloy® B-3® alloy,500.0,wrought,LLM_ONLY,SUCCESS,900,,1200,,20,,210,190.0,,,LOW,N/A,0,1.2
Haynes Hastelloy® B-3® alloy,538.0,wrought,LLM_ONLY,SUCCESS,850,269.0,1050,676.0,20,59.0,190,,,,LOW,N/A,0,1.2
Haynes Hastelloy® B-3® alloy,600.0,wrought,LLM_ONLY,SUCCESS,920,,1050,,18,,210,185.0,,,LOW,N/A,0,1.2
Haynes Hastelloy® B-3® alloy,649.0,wrought,LLM_ONLY,SUCCESS,850,317.0,1050,717.0,25,56.0,220000,,,,LOW,N/A,0,1.3
Haynes Hastelloy® C-2000® alloy,20.0,wrought,LLM_ONLY,SUCCESS,900,393.0,1200,779.0,20,68.0,200,,,,LOW,N/A,0,1.2
Haynes Hastelloy® C-2000® alloy,25.0,wrought,LLM_ONLY,SUCCESS,900,,1200,,20,,220000,207.0,,,LOW,N/A,0,1.2
Haynes Hastelloy® C-2000® alloy,316.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,20,,210000,190.0,,,LOW,N/A,0,1.0
Haynes Hastelloy® C-2000® alloy,427.0,wrought,LLM_ONLY,SUCCESS,800,,1050,,20,,190000,177.0,,,LOW,N/A,0,1.4
Haynes Hastelloy® C-2000® alloy,538.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,20,,190000,171.0,,,LOW,N/A,0,1.3
Haynes Hastelloy® C-2000® alloy,649.0,wrought,LLM_ONLY,SUCCESS,450,,800,,25,,180,162.0,,,LOW,N/A,0,1.9
Haynes Hastelloy® C-22® alloy,21.0,wrought,LLM_ONLY,SUCCESS,900,407.0,1200,800.0,25,57.0,220000,206.0,,,LOW,N/A,0,2.0
Haynes Hastelloy® C-22® alloy,93.0,wrought,LLM_ONLY,SUCCESS,900,372.0,1200,758.0,20,58.0,220000,,,,LOW,N/A,0,1.0
Haynes Hastelloy® C-22® alloy,200.0,wrought,LLM_ONLY,SUCCESS,900,303.0,1200,703.0,20,57.0,220000,197.0,,,LOW,N/A,0,1.7
Haynes Hastelloy® C-22® alloy,204.0,wrought,LLM_ONLY,SUCCESS,900,303.0,1200,703.0,20,57.0,220000,197.0,,,LOW,N/A,0,1.9
Haynes Hastelloy® C-22® alloy,300.0,wrought,LLM_ONLY,SUCCESS,900,,1100,,20,,220000,191.0,,,LOW,N/A,0,1.3
Haynes Hastelloy® C-22® alloy,316.0,wrought,LLM_ONLY,SUCCESS,850,286.0,1050,676.0,20,62.0,210000,,,,LOW,N/A,0,1.6
Haynes Hastelloy® C-22® alloy,400.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,20,,220000,185.0,,,LOW,N/A,0,1.1
Haynes Hastelloy® C-22® alloy,427.0,wrought,LLM_ONLY,SUCCESS,850,283.0,1050,655.0,25,67.0,210000,,,,LOW,N/A,0,1.3
Haynes Hastelloy® C-22® alloy,500.0,wrought,LLM_ONLY,SUCCESS,850,,1200,,25,,210000,179.0,,,LOW,N/A,0,1.2
Haynes Hastelloy® C-22® alloy,538.0,wrought,LLM_ONLY,SUCCESS,850,276.0,1050,627.0,20,61.0,190,,,,LOW,N/A,0,1.1
Haynes Hastelloy® C-22® alloy,600.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,18,,190,174.0,,,LOW,N/A,0,1.0
Haynes Hastelloy® C-22® alloy,649.0,wrought,LLM_ONLY,SUCCESS,850,248.0,1050,586.0,20,65.0,210000,,,,LOW,N/A,0,1.5
Haynes Hastelloy® C-22® alloy,700.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,18,,190,168.0,,,LOW,N/A,0,1.5
Haynes Hastelloy® C-22® alloy,760.0,wrought,LLM_ONLY,SUCCESS,450,241.0,700,524.0,20,63.0,180,,,,LOW,N/A,0,2.1
Haynes Hastelloy® C-22® alloy,800.0,wrought,LLM_ONLY,SUCCESS,450,,700,,25,,180,160.0,,,LOW,N/A,0,1.6
Haynes Hastelloy® C-22® alloy,900.0,wrought,LLM_ONLY,SUCCESS,550,,750,,20,,180,152.0,,,LOW,N/A,0,1.4
Haynes Hastelloy® C-22® alloy,1000.0,wrought,LLM_ONLY,SUCCESS,250,,550,,20,,180,144.0,,,LOW,N/A,0,1.2
Haynes Hastelloy® C-276 alloy,20.0,wrought,LLM_ONLY,SUCCESS,1050,364.7,1250,826.7,20,61.0,210,205.0,,,LOW,N/A,0,1.0
Haynes Hastelloy® C-276 alloy,204.0,wrought,LLM_ONLY,SUCCESS,920,,1050,696.4,18,,215000,195.0,,,LOW,N/A,0,1.4
Haynes Hastelloy® C-276 alloy,316.0,wrought,LLM_ONLY,SUCCESS,920,,1050,681.2,25,68.0,210000,188.0,,,LOW,N/A,0,1.1
Haynes Hastelloy® C-276 alloy,427.0,wrought,LLM_ONLY,SUCCESS,920,,1050,,25,67.0,210000,182.0,,,LOW,N/A,0,1.2
Haynes Hastelloy® C-276 alloy,538.0,wrought,LLM_ONLY,SUCCESS,850,,1050,,20,,220000,176.0,,,LOW,N/A,0,1.6
Haynes Hastelloy® C-4 alloy,20.0,wrought,LLM_ONLY,SUCCESS,900,421.0,1200,801.0,20,55.0,220000,211.0,,,LOW,N/A,0,1.7
